gene	locus_tag	transcript_ID	kali320	kali310	kali355	kali351	kali357	kali244	kali326	kali334	kali373	kali308	kali388	kali448	kali322	kali189	kali148	kali262	kali371	kali391	kali224	kali383	kali170	kali443	kali459	kali400
cds2992	"PF11_0161;partial=true;start_range=.,581249"	XM_001347796.1	186.1104683	179.1924624	107.1260975	220.5778168	171.3507504	148.6844609	206.6037071	179.4838908	129.3023963	170.2954445	193.1162329	158.0343282	86.72110109	89.75735951	93.02315351	88.1900746	105.80913	163.6195317	37.340139	43.76150994	104.3775759	67.49744305	122.0416035	101.9168707
cds2993	"PF11_0162;partial=true;start_range=.,584327"	XM_001347797.1	376.4507199	300.7873476	273.7666937	411.9224289	231.8274859	346.1560106	266.2892225	256.8476368	375.2078463	264.9040248	389.8992298	262.0735943	189.007528	269.7253985	270.8615352	252.5763736	295.356774	131.6937694	866.1090778	211.2068664	280.4580083	393.9514224	201.0803585	255.7748463
cds2994	"PF11_0163;partial=true;start_range=.,588168"	XM_001347798.1	0	0	2.975724932	5.315128115	10.07945591	3.097592936	0	0	3.463457042	6.307238685	3.666763916	3.950858205	5.781406739	24.02595987	5.77594744	11.64108985	32.45678835	7.411337671	78.32321839	26.25690596	28.13656394	24.01351339	3.603590654	24.14559472
cds2995	"PF11_0164;partial=true;start_range=.,589706"	XM_001347799.1	181.8806849	166.3930008	133.9076219	162.1114075	151.1918386	195.9227532	101.0062568	108.3092444	40.40699883	130.3495995	222.4503443	96.13754966	28.9070337	48.50523974	42.25561548	28.22082387	18.82493725	120.8618143	4.553675488	111.2463647	99.83942042	85.66983156	56.69649295	8.984407336
cds2996	"PF11_0165;partial=true;start_range=.,592129"	XM_001347800.1	372.2209365	433.0484508	172.592046	228.5505089	1290.170356	517.2980203	817.2324414	422.4060533	47.33391291	1135.302963	337.3422803	961.3754966	95.615573	140.5291992	64.75141078	82.54590982	63.61530517	49.59895211	50.09043037	73.70359569	81.68679852	116.1734837	81.44114878	95.45932794
cds2997	"PF11_0166;partial=true;start_range=.,596288"	XM_001347801.1	291.8550525	44.7981156	437.4315649	146.1660231	85.67537522	315.1800812	64.27670887	136.160193	519.5185564	105.1206448	177.2269226	85.60192778	386.9095279	985.9709947	365.7086721	390.8584106	714.0493438	423.0163502	969.0221438	494.5050623	500.1047332	990.3951739	313.0319081	497.5115562
cds2998	"PF11_0167;partial=true;start_range=.,600175"	XM_001347802.2	12.68935011	0	14.87862466	0	0	18.58555762	4.591193491	1.54727492	3.463457042	4.20482579	2.444509278	5.26781094	16.89949662	108.3434794	18.84782849	35.98155044	75.94888475	55.87008398	143.8961454	51.13186951	53.55023459	78.53067893	15.85579888	62.89085135
cds2999	"PF11_0168;partial=true;start_range=.,602982"	XM_001347803.2	4.22978337	0	0	0	0	0	9.182386982	3.094549841	0	4.20482579	0	5.26781094	0	0	0	0.352760298	0	0	0	0	0	0	0.480478754	0
cds30	PFA_0185w	XM_001350933.1	8.45956674	17.0659488	32.73297425	15.94538434	30.23836773	14.71356645	22.95596745	9.283649523	8.081399766	16.81930316	13.44480103	11.85257462	6.226130335	6.346479966	15.19986169	14.81593253	3.245678835	11.40205796	3.64294039	8.521978251	6.353417663	8.437180381	23.78369832	11.5112719
cds3000	"PF11_0168a;partial=true;start_range=.,607901"	XM_002585383.1	25.37870022	149.327052	35.70869918	23.91807652	115.9137429	22.45754879	174.4653527	77.36374602	0	109.3254705	15.8893103	63.21373128	0	4.079879978	0	0.352760298	0.649135767	1.140205796	0	0.230323737	0	0	0.240239377	1.123050917
cds3001	"PF11_0169;partial=true;start_range=.,615743"	XM_001347804.2	63.44675055	40.5316284	26.78152438	108.9601263	10.07945591	30.97592936	41.32074142	46.41824761	42.71597019	50.45790948	91.66909791	39.50858205	22.68090336	10.42635994	40.43163208	27.86806357	33.10592412	17.67318983	3.64294039	32.24532311	28.13656394	21.41745789	40.36021532	36.77991753
cds3002	"PF11_0170;partial=true;start_range=.,618311"	XM_001347805.1	42.2978337	19.1991924	23.80579945	26.57564057	15.11918386	29.42713289	22.95596745	29.39822349	21.93522794	18.92171606	35.44538452	11.85257462	23.12562696	12.23963993	29.7917289	13.75765164	12.33357957	12.54226375	3.64294039	20.72913629	28.13656394	14.27830526	25.22513458	18.81110286
cds3003	"PF11_0171;partial=true;start_range=.,619892"	XM_001347806.1	80.36588403	117.328398	71.41739836	154.1387153	70.55619136	96.79977925	137.7358047	97.47831999	98.13128287	96.71099317	79.44655152	151.4495645	65.37436851	38.98551979	63.23142461	41.62571521	38.29901026	55.87008398	12.75029137	61.49643765	53.55023459	55.81519329	72.55229183	61.48703771
cds3004	"PF11_0172;partial=true;start_range=.,624369"	XM_001347807.1	50.75740044	53.33108999	20.83007452	18.6029484	55.4370075	30.97592936	183.6477396	88.19467047	3.463457042	25.22895474	33.00087525	75.0663059	1.334170786	7.253119961	1.215988935	1.411041194	1.298271534	1.140205796	0	1.151618683	0.907631095	1.947041626	1.201196885	1.965339105
cds3005	"PF11_0173;partial=true;start_range=.,626708"	XM_001347808.2	0	44.7981156	11.90289973	5.315128115	45.35755159	16.26236291	13.77358047	29.39822349	4.617942723	46.25308369	8.555782472	39.50858205	16.45477303	20.85271989	6.687939141	11.28832955	27.91283798	17.67318983	20.03617215	7.831007042	7.261048758	11.03323588	6.486463177	7.861356419
cds3006	"PF11_0174;partial=true;start_range=.,630778"	XM_001347809.1	1340.841328	1476.204571	984.9649523	1302.206388	1552.23621	1395.465618	1620.691302	1681.887839	824.3027761	1612.55069	1228.365912	1980.696914	1007.298943	1286.975473	909.5597232	1104.139734	1182.725368	853.444038	1103.810938	941.1027874	903.0929392	1209.761864	750.7480529	912.4788701
cds3007	"PF11_0175;partial=true;start_range=.,636093"	XM_001347810.1	2872.022908	5188.048435	1666.405962	4145.799929	1869.739071	2591.136491	2942.955028	3581.941441	1664.768352	1940.527102	4232.667814	3846.818939	1536.075298	2133.777228	1302.628146	1539.093182	1855.230022	1324.919134	1967.187811	1268.162493	1459.4708	2155.37508	1423.658548	1577.04425
cds3008	"PF11_0175a;partial=true;start_range=.,644099"	XM_002585384.1	8.45956674	0	0	0	0	0	9.182386982	3.094549841	0	0	0	2.63390547	0	0	0	0	0	0	0	0	0	0	0.240239377	0
cds3009	"PF11_0176;partial=true;start_range=.,646921"	XM_001347811.2	0	0	0	0	0	0.774398234	0	0	0	0	1.222254639	3.950858205	0	1.359959993	0	0	0	0	0	0	0	0	0	0
cds301	"PFB0775w;partial=true;start_range=.,701244"	XM_001349637.1	0	0	2.975724932	0	0	0.774398234	4.591193491	7.736374602	0	4.20482579	15.8893103	7.90171641	0.444723595	0	0	0	0	0.570102898	0	0	0	0	0	0
cds3010	"PF11_0177;partial=true;start_range=.,652578"	XM_001347812.1	4.22978337	10.666218	2.975724932	0	15.11918386	5.420787638	13.77358047	4.641824761	0	25.22895474	2.444509278	5.26781094	0.444723595	0	0	0	0	0	0	0	0	0	0	0
cds3011	"PF11_0178;partial=true;start_range=.,654870"	XM_001347813.2	4.22978337	0	2.975724932	0	0	0	0	4.641824761	0	0	0	2.63390547	0	0	0	0	0	0	0	0	0	0	0	0
cds3012	"PF11_0179;partial=true;start_range=.,661999"	XM_001347814.1	63.44675055	19.1991924	41.66014904	13.28782029	5.039727954	37.17111523	22.95596745	17.02002413	43.87045587	6.307238685	66.00175049	9.218669145	85.3869303	134.6360393	84.51123097	86.7790334	95.42295776	107.7494477	157.5571719	101.5727678	114.3615179	125.9086918	86.48617569	137.5737373
cds3013	"PF11_0180;partial=true;start_range=.,664162"	XM_001347815.1	0	0	0	0	10.07945591	3.097592936	4.591193491	0	4.617942723	2.102412895	1.222254639	0	4.447235953	16.77283991	0.911991701	3.880363282	14.28098688	23.37421881	10.01808607	3.685179784	2.722893284	12.98027751	4.804787539	4.492203668
cds3014	"PF11_0181;partial=true;start_range=.,666036"	XM_001347816.2	16.91913348	40.5316284	8.927174795	5.315128115	15.11918386	20.90875232	9.182386982	24.75639873	2.308971362	25.22895474	15.8893103	31.60686564	0.889447191	4.079879978	0.607994467	1.411041194	0.649135767	0	1.821470195	0.460647473	0	1.298027751	0	0.280762729
cds3015	"PF11_0182;partial=true;start_range=.,668367"	XM_001347817.2	0	12.7994616	2.975724932	2.657564057	10.07945591	2.323194702	13.77358047	9.283649523	0	10.51206448	0	1.316952735	0	0	0	0	0.649135767	0	0	0	0	0	0	0
cds3016	"PF11_0183;partial=true;start_range=.,670710"	XM_001347818.1	321.4635361	281.5881552	235.0822696	308.2774306	317.5028611	296.5945236	353.5218988	283.1513104	319.7925336	311.1571085	310.4526783	326.6042783	255.7160673	222.5801188	301.2612586	298.0824521	307.6903536	273.6493909	463.5641647	243.6825132	316.7632521	260.9035779	283.001986	299.8545948
cds3017	"PF11_0184;partial=true;start_range=.,674298"	XM_001347819.1	25.37870022	23.4656796	11.90289973	39.86346086	20.15891182	27.10393819	27.54716095	26.30367365	40.40699883	31.53619343	23.22283814	9.218669145	34.68844044	24.47927987	41.03962655	26.45702238	35.70246719	43.89792313	16.39323176	44.22215741	29.04419503	31.8016799	36.27614592	28.91856111
